SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
609682,RICHARDS HS,"5009 S LAFLIN ST, 60609",POINT (-87.66227784468357 41.80288137406752),HS,"9, 10, 11, 12","District, non-alternative",-87.66227784,41.80288138
610390,RICKOVER HS,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10, 11, 12","District, non-alternative",-87.66522476,41.98903245
610374,ROBESON AA,"6835 S NORMAL BLVD, 60621",POINT (-87.63715271295727 41.76971379289224),HS,"9, 10",High School,-87.63715271,41.76971379
609707,ROBESON HS (&AA),"6835 S NORMAL BLVD, 60621",POINT (-87.63715271295727 41.76971379289224),HS,"9, 10, 11, 12","District, non-alternative",-87.63715271,41.76971379
610256,ROBINSON,"4225 S LAKE PARK AVE, 60653",POINT (-87.59906676983158 41.81734932222726),ES,"PK, K, 1, 2, 3","District, non-alternative",-87.59906677,41.81734932
610147,ROGERS,"7345 N WASHTENAW AVE, 60645",POINT (-87.69718539009077 42.0152650491469),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69718539,42.01526505
609728,ROOSEVELT HS,"3436 W WILSON AVE, 60625",POINT (-87.71481861434995 41.96482788828008),HS,"9, 10, 11, 12","District, non-alternative",-87.71481861,41.96482789
610150,ROSS,"6059 S WABASH AVE, 60637",POINT (-87.62368943481071 41.78379692388002),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62368943,41.78379692
400096,ROWE,"1424 N CLEAVER ST, 60642",POINT (-87.66407246489905 41.90779718003707),ES,"K, 1, 2, 3, 4",Charter,-87.66407246,41.90779718
610308,RUDOLPH,"110 N PAULINA ST, 60612",POINT (-87.66947670561827 41.88356816984407),ES,"PK, K, 1, 2, 3, 4, 5","District, Special Ed.",-87.66947671,41.88356817
610152,RUGGLES,"7831 S PRAIRIE AVE, 60619",POINT (-87.61806644619863 41.75194557434461),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.61806645,41.75194558
610125,RUIZ,"2410 S LEAVITT ST, 60608",POINT (-87.68074453116934 41.84810094369656),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68074453,41.84810094
610153,RYDER,"8716 S WALLACE ST, 60620",POINT (-87.63884269794485 41.73537938935889),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6388427,41.73537939
610154,RYERSON,"646 N LAWNDALE AVE, 60624",POINT (-87.71879729062479 41.89323561099249),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71879729,41.89323561
